category_name,category_id
Art singulier,http://www.wikidata.org/entity/Q2864738
Q2864741,http://www.wikidata.org/entity/Q2864741
Sociological art,http://www.wikidata.org/entity/Q2864743
Solar artwork,http://www.wikidata.org/entity/Q2864746
equitable art,http://www.wikidata.org/entity/Q2864760
Novgorod School,http://www.wikidata.org/entity/Q2876208
Bad Painting,http://www.wikidata.org/entity/Q2878528
Belgian comics,http://www.wikidata.org/entity/Q2882210
Q2886841,http://www.wikidata.org/entity/Q2886841
Benizuri-e,http://www.wikidata.org/entity/Q2895971
Antropophagia,http://www.wikidata.org/entity/Q2907232
Nanga,http://www.wikidata.org/entity/Q2928221
Rajput painting,http://www.wikidata.org/entity/Q2988788
Massurrealism,http://www.wikidata.org/entity/Q2996287
analytical cubism,http://www.wikidata.org/entity/Q3006706
synthetic cubism,http://www.wikidata.org/entity/Q3006708
Radical period,http://www.wikidata.org/entity/Q3024426
Heidelberg School,http://www.wikidata.org/entity/Q3032335
Figuration narrative,http://www.wikidata.org/entity/Q3071677
Yokohama-e,http://www.wikidata.org/entity/Q3074667
Forma 1,http://www.wikidata.org/entity/Q3077307
Kappazuri,http://www.wikidata.org/entity/Q3077939
Cuzco School,http://www.wikidata.org/entity/Q3108623
Dutch School,http://www.wikidata.org/entity/Q3111286
Group of Thirteen,http://www.wikidata.org/entity/Q3117798
Q3263391,http://www.wikidata.org/entity/Q3263391
L'art pompier,http://www.wikidata.org/entity/Q3268288
polystylism,http://www.wikidata.org/entity/Q3269212
Matterism,http://www.wikidata.org/entity/Q3299172
Mec Art,http://www.wikidata.org/entity/Q3303826
Onirism,http://www.wikidata.org/entity/Q3306247
Flemish School,http://www.wikidata.org/entity/Q3307709
Mingei,http://www.wikidata.org/entity/Q3314961
Mono-ha,http://www.wikidata.org/entity/Q3321083
Peintres de la Réalité,http://www.wikidata.org/entity/Q3326492
Movimento Arte Concreta,http://www.wikidata.org/entity/Q3326940
Musicalism,http://www.wikidata.org/entity/Q3328533
Nieuwe Kunst,http://www.wikidata.org/entity/Q3341324
nikuhitsu-ga,http://www.wikidata.org/entity/Q3341836
Nouvelle école d'Avignon,http://www.wikidata.org/entity/Q3345238
neo-pop,http://www.wikidata.org/entity/Q3347103
Florentine School,http://www.wikidata.org/entity/Q3357314
Byzantine icon painting,http://www.wikidata.org/entity/Q3374347
metamodernism,http://www.wikidata.org/entity/Q3380771
Italian primitives,http://www.wikidata.org/entity/Q3403250
productivism,http://www.wikidata.org/entity/Q3406700
Pre-Code Hollywood,http://www.wikidata.org/entity/Q3408764
Proto-Cubism,http://www.wikidata.org/entity/Q3408836
Medieval renaissances,http://www.wikidata.org/entity/Q3424764
Q3425529,http://www.wikidata.org/entity/Q3425529
Q3441732,http://www.wikidata.org/entity/Q3441732
Q3473056,http://www.wikidata.org/entity/Q3473056
Seiz Breur,http://www.wikidata.org/entity/Q3477959
Permian animal style,http://www.wikidata.org/entity/Q3484547
simultanism,http://www.wikidata.org/entity/Q3484823
Henry II style,http://www.wikidata.org/entity/Q3501270
Q3501275,http://www.wikidata.org/entity/Q3501275
Troubadour style,http://www.wikidata.org/entity/Q3501307
Supports/Surfaces,http://www.wikidata.org/entity/Q3504923
Belgian surrealism,http://www.wikidata.org/entity/Q3505455
Manipravalam,http://www.wikidata.org/entity/Q3523410
uki-e,http://www.wikidata.org/entity/Q3547879
Volcano School,http://www.wikidata.org/entity/Q3562740
Shijō school,http://www.wikidata.org/entity/Q3577704
School of Brussels,http://www.wikidata.org/entity/Q3577783
Crozant School,http://www.wikidata.org/entity/Q3577791
École de Dakar,http://www.wikidata.org/entity/Q3577793
Q3577801,http://www.wikidata.org/entity/Q3577801
Q3577813,http://www.wikidata.org/entity/Q3577813
Rouen School,http://www.wikidata.org/entity/Q3577819
Bay Area Figurative Movement,http://www.wikidata.org/entity/Q3577822
Q3577825,http://www.wikidata.org/entity/Q3577825
Wissant school,http://www.wikidata.org/entity/Q3577826
Brussels School of Sculpture,http://www.wikidata.org/entity/Q3577912
Q3577917,http://www.wikidata.org/entity/Q3577917
Q3578066,http://www.wikidata.org/entity/Q3578066
Q3578338,http://www.wikidata.org/entity/Q3578338
Scuola Romana,http://www.wikidata.org/entity/Q3578343
Veronese school,http://www.wikidata.org/entity/Q3578530
Baroque art,http://www.wikidata.org/entity/Q3624106
Flavian art,http://www.wikidata.org/entity/Q3624130
arte nucleare,http://www.wikidata.org/entity/Q3624145
medieval art,http://www.wikidata.org/entity/Q3624153
Pahari painting,http://www.wikidata.org/entity/Q3631050
Cynical realism,http://www.wikidata.org/entity/Q3650833
Chiarismo,http://www.wikidata.org/entity/Q3667535
Moscow Conceptualists,http://www.wikidata.org/entity/Q3686197
Cracking Art,http://www.wikidata.org/entity/Q3696422
Q3797228,http://www.wikidata.org/entity/Q3797228
